time,ax,ay,az,wx,wy,wz,Bx(µT),By(µT),Bz(µT),latitude,longitude,altitude,speed
2026-04-23T14:55:39.677Z,-2.3338,0.7389,-0.4829,-0.5474,0.3844,1.1095,10.8369,3.5535,-48.4800,40.01023049799408,-105.24393952785817,1603.7002,0.2709
2026-04-23T14:55:39.687Z,-2.5713,0.3320,-0.3838,-0.5226,0.5039,1.1256,11.0377,3.7275,-48.5202,40.01023049799408,-105.24393952785817,1603.7002,0.2709
2026-04-23T14:55:39.697Z,-2.8068,0.1875,-0.2676,-0.4127,0.6341,1.1911,11.3801,3.7518,-48.3897,40.01023049799408,-105.24393952785817,1603.7002,0.2709
2026-04-23T14:55:39.707Z,-2.9494,0.1044,-0.1526,-0.2374,0.7114,1.2741,11.6888,3.8918,-48.5641,40.01023049799408,-105.24393952785817,1603.7002,0.2709
2026-04-23T14:55:39.718Z,-3.0975,0.0096,-0.4004,-0.0687,0.6558,1.3282,11.9954,3.8822,-48.4691,40.01023049799408,-105.24393952785817,1603.7002,0.2709
2026-04-23T14:55:39.728Z,-3.0263,0.0918,-0.8153,0.0590,0.5024,1.3038,12.4314,3.8291,-48.0767,40.01023049799408,-105.24393952785817,1603.7002,0.2709
2026-04-23T14:55:39.738Z,-2.7273,0.0536,-1.2212,0.1327,0.3339,1.2296,12.7323,3.5510,-48.0111,40.01023049799408,-105.24393952785817,1603.7002,0.2709
2026-04-23T14:55:39.749Z,-2.2021,-0.0439,-1.5416,0.1695,0.2193,1.1542,12.9238,3.3874,-48.0095,40.01023049799408,-105.24393952785817,1603.7002,0.2709
2026-04-23T14:55:39.758Z,-1.7474,-0.0221,-1.7822,0.1981,0.1809,1.1322,13.0754,3.0992,-47.8869,40.01023049799408,-105.24393952785817,1603.7002,0.2709
2026-04-23T14:55:39.768Z,-1.3585,0.0825,-2.0072,0.2045,0.2328,1.1610,13.0576,2.9428,-48.2051,40.01023049799408,-105.24393952785817,1603.7002,0.2709
2026-04-23T14:55:39.779Z,-1.1092,0.1426,-2.1403,0.0375,0.4523,1.3180,13.1631,2.7348,-48.1360,40.01023049799408,-105.24393952785817,1603.7002,0.2709
2026-04-23T14:55:39.787Z,-0.9096,0.1180,-2.0189,0.0375,0.4523,1.3180,13.5214,2.4131,-48.2918,40.01023049799408,-105.24393952785817,1603.7002,0.2709
2026-04-23T14:55:39.799Z,-0.7206,0.1069,-2.0657,-0.2240,0.6757,1.4888,13.6041,2.1927,-48.1342,40.01023049799408,-105.24393952785817,1603.7002,0.2709
2026-04-23T14:55:39.809Z,-0.7146,0.1473,-1.8359,-0.3076,0.7619,1.5411,14.0556,1.9795,-47.7167,40.01023049799408,-105.24393952785817,1603.7002,0.2709
2026-04-23T14:55:39.819Z,-0.7521,-0.0025,-1.5927,-0.3076,0.7619,1.5411,14.4649,1.8737,-47.5740,40.01023049799408,-105.24393952785817,1603.7002,0.2709
2026-04-23T14:55:39.828Z,-0.8397,0.0145,-1.3139,-0.3608,0.8767,1.5451,14.8430,1.8397,-47.5741,40.01023049799408,-105.24393952785817,1603.7002,0.2709
2026-04-23T14:55:39.839Z,-0.8804,-0.0850,-1.1130,-0.3200,0.9299,1.5932,15.4146,1.7831,-47.3404,40.01023049799408,-105.24393952785817,1603.7002,0.2709
2026-04-23T14:55:39.848Z,-0.8472,-0.1653,-0.7427,-0.3200,0.9299,1.5932,15.8345,1.6634,-47.1925,40.01023049799408,-105.24393952785817,1603.7002,0.2709
2026-04-23T14:55:39.859Z,-0.7764,0.0089,-0.7563,-0.2397,0.8431,1.6945,16.4498,1.6512,-46.7162,40.01023049799408,-105.24393952785817,1603.7002,0.2709
2026-04-23T14:55:39.869Z,-0.7616,0.1437,-0.7812,-0.2467,0.7803,1.7609,16.8793,1.3455,-46.7422,40.01023049799408,-105.24393952785817,1603.7002,0.2709
2026-04-23T14:55:39.879Z,-0.6383,0.1001,-0.8888,-0.2562,0.7708,1.8306,17.3997,1.1873,-46.5225,40.01023049799408,-105.24393952785817,1603.7002,0.2709
2026-04-23T14:55:39.887Z,-0.3569,0.2505,-0.8136,-0.2207,0.8073,1.9004,17.7132,0.8843,-46.5253,40.01023049799408,-105.24393952785817,1603.7002,0.2709
2026-04-23T14:55:39.899Z,-0.2356,0.1771,-0.7281,-0.1213,0.7473,1.9920,17.9767,0.8348,-46.1523,40.01023049799408,-105.24393952785817,1603.7002,0.2709
2026-04-23T14:55:39.909Z,-0.1160,-0.1267,-1.0953,0.0269,0.6693,2.0329,18.4758,0.4394,-46.0796,40.01023049799408,-105.24393952785817,1603.7002,0.2709
2026-04-23T14:55:39.918Z,-0.1114,-0.0330,-0.9012,0.1968,0.4773,2.0330,18.8664,0.1209,-46.0022,40.01023049799408,-105.24393952785817,1603.7002,0.2709
2026-04-23T14:55:39.928Z,-0.3091,-0.1149,-1.2829,0.3693,0.2669,1.9481,19.1474,-0.2622,-45.8088,40.01023049799408,-105.24393952785817,1603.7002,0.2709
2026-04-23T14:55:39.938Z,-0.5959,0.1842,-1.1468,0.4433,0.2536,1.7976,19.2609,-0.7721,-45.8218,40.01023049799408,-105.24393952785817,1603.7002,0.2709
2026-04-23T14:55:39.948Z,-0.8037,0.4840,0.1436,0.3403,0.4907,1.6244,19.4529,-1.4419,-45.4438,40.01023049799408,-105.24393952785817,1603.7002,0.2709
2026-04-23T14:55:39.959Z,-0.6065,0.5808,1.4115,0.1074,0.6592,1.5124,19.5280,-2.0409,-45.3919,40.01023049799408,-105.24393952785817,1603.7002,0.2709
2026-04-23T14:55:39.968Z,-0.2514,0.4864,0.6484,-0.1416,0.5822,1.4814,19.7967,-2.5250,-45.4033,40.01023049799408,-105.24393952785817,1603.7002,0.2709
2026-04-23T14:55:39.977Z,-0.0981,0.5275,-0.9181,-0.3472,0.4260,1.4845,20.2366,-2.6924,-45.2222,40.01023049799408,-105.24393952785817,1603.7002,0.2709
2026-04-23T14:55:39.988Z,-0.0215,0.4929,-1.3626,-0.5321,0.3198,1.4967,20.2609,-2.8056,-45.2615,40.01023049799408,-105.24393952785817,1603.7002,0.2709
